Feature,Mean,Std,Min,Max,Q25,Q75
_neutral,-5.9530294e-08,0.9996047,-1.0422963,24.845272,-0.62726295,0.25493783
browDownLeft,1.0686013e-06,1.0003353,-0.70068246,6.0848055,-0.62666047,0.21853742
browDownRight,6.6380608e-06,1.0002632,-0.70938396,5.964589,-0.6399633,0.28552145
browInnerUp,2.295896e-05,0.9993905,-0.5652909,7.7191877,-0.55138564,0.07003447
browOuterUpLeft,-1.1767397e-06,0.99983007,-0.9690459,5.1054907,-0.8049061,0.54685056
browOuterUpRight,-1.2070684e-06,0.99992275,-0.9201524,7.7156324,-0.7556407,0.48345473
cheekPuff,-4.880285e-07,0.99936855,-0.40254357,26.021837,-0.29029456,-0.09881881
cheekSquintLeft,-2.9736663e-07,0.9995483,-0.7364488,25.372763,-0.51983577,0.10366883
cheekSquintRight,4.63246e-07,0.9995209,-0.7869466,24.152437,-0.48837322,0.0783332
eyeBlinkLeft,3.260364e-07,0.999598,-1.2763793,6.7242765,-0.732494,0.4456316
eyeBlinkRight,3.071918e-07,0.99958885,-1.121942,6.9465103,-0.7532831,0.42388284
eyeLookDownLeft,4.164369e-08,0.99974644,-1.0801594,4.773104,-0.7804079,0.51608205
eyeLookDownRight,3.0464943e-07,0.9997289,-1.0914385,4.9590154,-0.77780145,0.5127801
eyeLookInLeft,-1.581451e-07,0.99966776,-0.7899237,10.58685,-0.6176071,0.20190643
eyeLookInRight,2.4668046e-07,0.99969304,-1.0747461,6.757541,-0.7276794,0.4209134
eyeLookOutLeft,6.155174e-07,0.9997171,-1.2084278,6.959864,-0.74687064,0.47698832
eyeLookOutRight,-8.706559e-08,0.9996193,-0.945144,10.442369,-0.6427283,0.26656175
eyeLookUpLeft,2.4668228e-07,0.9996423,-1.0354519,5.78992,-0.7260921,0.3997551
eyeLookUpRight,2.8116577e-07,0.9996539,-1.0229642,5.8921337,-0.73571545,0.41409463
eyeSquintLeft,4.39545e-07,0.99968445,-2.3440857,3.226174,-0.7432389,0.66444063
eyeSquintRight,-1.0608902e-06,0.9997055,-2.0313203,3.8182528,-0.7919605,0.6823831
eyeWideLeft,-4.4773083e-07,0.9996273,-0.9968186,19.604044,-0.5771165,0.1724167
eyeWideRight,-5.5254713e-08,0.9996771,-0.852918,28.549393,-0.59525883,0.20588796
jawForward,-2.0602883e-07,0.9990642,-0.42860994,29.680653,-0.3404172,-0.03578908
jawLeft,2.1572048e-07,0.9966474,-0.2699659,85.96656,-0.22897755,-0.07066285
jawOpen,-1.4570674e-05,1.0013745,-0.30426678,27.320742,-0.28633347,-0.14010048
